Worker_ID,Name,Gender,DOB,Age,Department,Join_Date,Experience (Years),Shift,Contact_No
W038,Divya B,Male,07/20/1975,50,Packaging,04/17/2024,1.5,Morning,9707487485
W039,Rajesh M,Female,04/09/1999,26,Finishing,04/15/2021,4.5,Evening,9655682265
W040,Priya L,Female,08/22/1980,45,Cutting,10/12/2021,4,Evening,9347849231
W041,Anitha L,Male,10/22/1989,36,Cutting,03/22/2020,5.6,Morning,9127902647
W042,Banu Devi,Male,04/07/1999,26,Packaging,10/06/2022,3,Night,9631783651
W043,Aravind L,Female,06/30/1978,47,Cutting,02/24/2023,2.6,Night,9720121067
W044,Karthik P,Female,05/20/1982,43,Stitching,08/09/2021,4.2,Evening,9873916038
W045,Divya Devi,Female,09/21/1987,38,Packaging,12/30/2020,4.8,Evening,9674868038
W046,Murugan B,Female,07/01/1985,40,Finishing,08/30/2022,3.1,Morning,9404665892
W047,Banu M,Male,06/16/1992,33,Packaging,04/26/2020,5.5,Evening,9131769490
W048,Lavanya M,Female,05/27/1990,35,Packaging,06/26/2022,3.3,Morning,9718856827
W049,Mala Devi,Female,04/28/1999,26,Packaging,08/07/2024,1.2,Morning,9326192868
W050,Deepa T,Female,06/29/1989,36,Packaging,02/10/2021,4.7,Evening,9168474943
W051,Vignesh Devi,Male,06/26/1998,27,Packaging,07/08/2021,4.3,Morning,9672681094
W052,Harish P,Female,05/15/1997,28,Cutting,03/23/2024,1.6,Night,9035542006
W053,Meena Devi,Female,06/30/1997,28,Cutting,08/27/2024,1.1,Evening,9756046140
W054,Suresh M,Female,09/26/1988,37,Cutting,07/15/2022,3.3,Night,9850677704
W055,Lavanya P,Female,07/01/1997,28,Cutting,03/20/2022,3.6,Evening,9471329821
W056,Kaviya M,Female,05/14/1992,33,Finishing,05/23/2020,5.4,Night,9644715654
W057,Naveen L,Female,09/27/1993,32,Stitching,08/29/2022,3.1,Night,9480727479
W058,Deepa Kumar,Male,04/18/2002,23,Finishing,04/13/2021,4.5,Morning,9747655871
W059,Kaviya Devi,Female,08/25/1983,42,Cutting,05/19/2022,3.4,Night,9762415149
W060,Suresh Devi,Female,10/18/1980,45,Packaging,07/01/2022,3.3,Morning,9569370380
W061,Kaviya Devi,Male,06/13/1977,48,Stitching,01/03/2021,4.8,Evening,9300767419
W062,Deepa B,Female,05/30/1989,36,Finishing,10/13/2020,5,Evening,9489416079
W063,Saravanan M,Female,10/08/2000,25,Stitching,01/01/2024,1.8,Evening,9809741515
W064,Suresh T,Female,05/19/1995,30,Stitching,08/04/2021,4.2,Morning,9985260280
W065,Meena T,Male,04/08/1987,38,Stitching,07/09/2024,1.3,Morning,9369114809
W066,Murugan Kumar,Female,06/19/1982,43,Finishing,01/10/2023,2.8,Night,9742024800
W067,Rajesh Devi,Female,05/24/1982,43,Finishing,03/04/2021,4.6,Night,9841976917
W068,Priya S,Female,10/19/1977,48,Finishing,04/06/2023,2.5,Evening,9198982585
W069,Suresh M,Male,05/05/1980,45,Packaging,06/13/2024,1.3,Evening,9199650860
W070,Priya R,Female,07/20/2000,25,Packaging,08/05/2022,3.2,Evening,9869494944
W071,Murugan P,Female,08/30/1998,27,Stitching,03/24/2022,3.6,Morning,9268100988
W072,Anitha Kumar,Male,04/21/2003,22,Stitching,01/05/2021,4.8,Night,9896415311
W073,Naveen Kumar,Male,10/08/1995,30,Cutting,06/15/2020,5.3,Evening,9382182021
W074,Manoj T,Male,05/03/1978,47,Packaging,12/31/2023,1.8,Night,9730333560
W075,Naveen R,Female,06/04/1999,26,Cutting,08/16/2022,3.2,Night,9965164511
W076,Mala R,Female,07/05/1996,29,Cutting,07/16/2024,1.2,Morning,9041147308
W077,Saravanan T,Male,05/21/1984,41,Stitching,05/17/2024,1.4,Morning,9720381571
W078,Aravind S,Female,06/21/1993,32,Stitching,06/03/2023,2.4,Evening,9021881873
W079,Vignesh S,Female,05/04/1986,39,Cutting,08/24/2020,5.1,Evening,9354548477
W080,Deepa T,Male,08/30/1999,26,Stitching,04/12/2020,5.5,Night,9278625475
W081,Vignesh S,Male,10/09/1999,26,Stitching,07/19/2022,3.2,Night,9470834769
W082,Sindu Kumar,Male,05/07/1984,41,Packaging,04/18/2021,4.5,Night,9471695906
W083,Harish T,Male,04/25/2003,22,Packaging,04/28/2023,2.5,Morning,9331946613
W084,Divya Devi,Female,08/06/1985,40,Cutting,04/25/2023,2.5,Night,9207776723
W085,Priya Devi,Male,06/23/2000,25,Finishing,05/22/2022,3.4,Morning,9217617748
W086,Sindu Kumar,Female,07/19/1998,27,Packaging,03/20/2024,1.6,Evening,9928576319
W087,Saravanan L,Male,05/17/1988,37,Finishing,09/19/2022,3.1,Evening,9067063153
W088,Saravanan R,Female,10/19/1977,48,Cutting,01/22/2022,3.7,Night,9516937523
W089,Karthik T,Male,04/30/1999,26,Cutting,12/24/2020,4.8,Evening,9925282894
W090,Lavanya Devi,Female,06/10/1998,27,Packaging,09/02/2021,4.1,Night,9468976226
W091,Lavanya R,Male,09/29/1994,31,Packaging,05/06/2021,4.4,Evening,9923608561
W092,Priya L,Male,09/04/1997,28,Cutting,04/05/2022,3.5,Morning,9453109564
W093,Mala P,Male,09/24/1988,37,Finishing,10/17/2023,2,Night,9028131762
W094,Sindu L,Male,06/08/1999,26,Stitching,11/04/2020,4.9,Morning,9731266394
W095,Murugan S,Female,07/08/1993,32,Cutting,03/05/2021,4.6,Night,9034866440
W096,Vignesh T,Female,05/27/1976,49,Finishing,01/08/2021,4.8,Morning,9137866954
W097,Kaviya Devi,Female,10/17/2003,22,Packaging,12/14/2023,1.8,Night,9737717618
W098,Divya M,Male,05/10/1988,37,Packaging,05/21/2021,4.4,Night,9249659905
W099,Mala L,Male,10/18/2003,22,Cutting,12/22/2022,2.8,Morning,9928804282
W100,Lavanya B,Female,08/01/1982,43,Stitching,04/20/2020,5.5,Evening,9888355912
